[1] "Userchar,WindowSize,Slice,Model,Repeat,Accuracy_mean,Accuracy_sd,Kappa_mean,Kappa_sd,AccuracyHigh_mean,AccuracyHigh_sd,AccuracyLow_mean,AccuracyLow_sd"
[1] "BarChartLit,1000,2,xgbTree,2,0.516666666666667,0.213870850610224,0.0193806193806193,0.336402965788647,0.48,0.35606312976908,0.551724137931035,0.299077058300076"
[1] "BarChartLit,1000,2,svmLinear,2,0.643333333333333,0.200647101297924,0.312470862470862,0.355804618817339,0.6,0.312288023343531,0.655172413793103,0.152783332631813"
[1] "BarChartLit,1000,2,MajorityClass,3,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,2,rf,3,0.58,0.203184523567333,0.203221778221778,0.351974540097485,0.4,0.173205080756888,0.724137931034483,0.253438936066518"
[1] "BarChartLit,1000,2,regLogistic,3,0.516666666666667,0.198916819888535,0.0149350649350649,0.381403666516715,0.56,0.294448637286709,0.482758620689655,0.355114751856906"
[1] "BarChartLit,1000,2,xgbTree,3,0.5,0.20727509006864,0.0294039294039294,0.305132490710274,0.44,0.192873015219859,0.551724137931034,0.280649706427576"
[1] "BarChartLit,1000,2,svmLinear,3,0.61,0.236251592195301,0.160680985680986,0.430017926421336,0.56,0.267768556779918,0.655172413793103,0.271111717553019"
[1] "BarChartLit,1000,2,MajorityClass,4,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,2,rf,4,0.556666666666667,0.181250798210247,0.112802197802198,0.368815909044317,0.48,0.327051927013071,0.620689655172414,0.218340385387841"
[1] "BarChartLit,1000,2,regLogistic,4,0.536666666666667,0.188856206322871,0.0772360972360972,0.427654635884046,0.56,0.271620650499512,0.517241379310345,0.287547828905882"
[1] "BarChartLit,1000,2,xgbTree,4,0.533333333333333,0.243938871112224,0.0799914791091261,0.466801850352768,0.52,0.343619082814203,0.551724137931034,0.293984851594307"
[1] "BarChartLit,1000,2,svmLinear,4,0.586666666666667,0.186057206123862,0.186628371628372,0.354485541399102,0.56,0.407885241667764,0.620689655172414,0.218340385387841"
[1] "BarChartLit,1000,2,MajorityClass,5,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,2,rf,5,0.513333333333333,0.146733991281948,0.0837495837495837,0.232451456293954,0.4,0.304290309725092,0.620689655172414,0.210902052789623"
[1] "BarChartLit,1000,2,regLogistic,5,0.593333333333333,0.196763943299366,0.209353979353979,0.361826855453357,0.6,0.258198889747161,0.586206896551724,0.359214558876145"
[1] "BarChartLit,1000,2,xgbTree,5,0.42,0.179986282056147,-0.150411255411255,0.371830847416443,0.32,0.245553041716645,0.517241379310345,0.225289311118269"
[1] "BarChartLit,1000,2,svmLinear,5,0.576666666666667,0.191839696454625,0.09508658008658,0.420041609909166,0.56,0.271620650499512,0.586206896551724,0.301199141870246"
[1] "BarChartLit,1000,2,MajorityClass,6,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,2,rf,6,0.54,0.169821983773714,0.0484731934731934,0.332963538690403,0.48,0.369584351119731,0.586206896551724,0.233071782141087"
[1] "BarChartLit,1000,2,regLogistic,6,0.523333333333333,0.287195893914731,-0.023917748917749,0.585780488418421,0.48,0.425484473320751,0.586206896551724,0.352937830332731"
[1] "BarChartLit,1000,2,xgbTree,6,0.593333333333333,0.213610930501296,0.184881784881785,0.340976724017544,0.48,0.315524255098646,0.689655172413793,0.309918822131328"
[1] "BarChartLit,1000,2,svmLinear,6,0.553333333333333,0.199505561666342,0.17877769289534,0.327837873065073,0.64,0.355486104328102,0.482758620689655,0.336652780925177"
[1] "BarChartLit,1000,2,MajorityClass,7,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,2,rf,7,0.563333333333333,0.188201363136455,0.177049421167068,0.328936089339432,0.48,0.329089653438087,0.620689655172414,0.264617573177502"
[1] "BarChartLit,1000,2,regLogistic,7,0.64,0.252298079635288,0.236996336996337,0.458738462243295,0.64,0.278747197295327,0.655172413793103,0.286012181991741"
[1] "BarChartLit,1000,2,xgbTree,7,0.63,0.122171706732475,0.206420050537698,0.268277259543105,0.52,0.260384331325831,0.724137931034483,0.301746943126481"
[1] "BarChartLit,1000,2,svmLinear,7,0.576666666666667,0.172884033065199,0.119656813774461,0.36043813553832,0.52,0.300499584026334,0.620689655172414,0.252263283086307"
[1] "BarChartLit,1000,2,MajorityClass,8,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,2,rf,8,0.576666666666667,0.191839696454625,0.16038961038961,0.337516541457219,0.52,0.338186886751054,0.620689655172414,0.18681844611701"
[1] "BarChartLit,1000,2,regLogistic,8,0.61,0.162579515208504,0.197727272727273,0.31601898386561,0.64,0.24434341346495,0.586206896551724,0.31161934969485"
[1] "BarChartLit,1000,2,xgbTree,8,0.463333333333333,0.179471102251058,-0.0764171122994653,0.372957101412595,0.4,0.219426862868128,0.517241379310345,0.338544286782141"
[1] "BarChartLit,1000,2,svmLinear,8,0.616666666666667,0.263054235594483,0.181734931734932,0.565474011425831,0.6,0.333333333333333,0.620689655172414,0.338706853075679"
[1] "BarChartLit,1000,2,MajorityClass,9,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,2,rf,9,0.473333333333333,0.205360267593741,0.0621809562986033,0.391413589582805,0.4,0.293683503111768,0.551724137931034,0.337469385193177"
[1] "BarChartLit,1000,2,regLogistic,9,0.573333333333333,0.259058123036339,0.167865467865468,0.500762910589068,0.64,0.267768556779918,0.517241379310345,0.331876854999291"
[1] "BarChartLit,1000,2,xgbTree,9,0.383333333333333,0.165738154335292,-0.106733462615816,0.352339627341931,0.36,0.32473065762259,0.413793103448276,0.386612631246526"
[1] "BarChartLit,1000,2,svmLinear,9,0.633333333333333,0.215452438107392,0.251648351648352,0.430401804655652,0.64,0.274681633896407,0.620689655172414,0.207852199080749"
[1] "BarChartLit,1000,2,MajorityClass,10,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,2,rf,10,0.526666666666667,0.284930140885771,0.00963702963702957,0.470032917362678,0.52,0.287260367121047,0.551724137931034,0.419317108569499"
